Date,Close
14/03/2014,1.1943
17/03/2014,1.1951
18/03/2014,1.1913
19/03/2014,1.1955
20/03/2014,1.1979
21/03/2014,1.1969
24/03/2014,1.1963
25/03/2014,1.1981
26/03/2014,1.2016
27/03/2014,1.209
28/03/2014,1.2097
31/03/2014,1.2096
01/04/2014,1.206
02/04/2014,1.2082
03/04/2014,1.2092
04/04/2014,1.2115
07/04/2014,1.2088
08/04/2014,1.2143
09/04/2014,1.2115
10/04/2014,1.2085
11/04/2014,1.2041
14/04/2014,1.2113
15/04/2014,1.2102
16/04/2014,1.2161
17/04/2014,1.2149
22/04/2014,1.2194
23/04/2014,1.2134
24/04/2014,1.2157
25/04/2014,1.2149
28/04/2014,1.214
29/04/2014,1.219
30/04/2014,1.2179
01/05/2014,1.2185
02/05/2014,1.217
06/05/2014,1.2196
07/05/2014,1.2184
08/05/2014,1.2228
09/05/2014,1.2243
12/05/2014,1.2266
13/05/2014,1.2285
14/05/2014,1.2238
15/05/2014,1.2246
16/05/2014,1.228
19/05/2014,1.2266
20/05/2014,1.2301
21/05/2014,1.2352
22/05/2014,1.2345
23/05/2014,1.2355
27/05/2014,1.2342
28/05/2014,1.2288
29/05/2014,1.2279
30/05/2014,1.2292
02/06/2014,1.2316
03/06/2014,1.2289
04/06/2014,1.2299
05/06/2014,1.2333
06/06/2014,1.2309
09/06/2014,1.2356
10/06/2014,1.2374
11/06/2014,1.2405
12/06/2014,1.2429
13/06/2014,1.2537
16/06/2014,1.2515
17/06/2014,1.2529
18/06/2014,1.2481
19/06/2014,1.2511
20/06/2014,1.2535
23/06/2014,1.2513
24/06/2014,1.2482
25/06/2014,1.2455
26/06/2014,1.2515
27/06/2014,1.2475
30/06/2014,1.2488
01/07/2014,1.2528
02/07/2014,1.2574
03/07/2014,1.2596
04/07/2014,1.2619
07/07/2014,1.2598
08/07/2014,1.2575
09/07/2014,1.2565
10/07/2014,1.2581
11/07/2014,1.2576
14/07/2014,1.2541
15/07/2014,1.2634
16/07/2014,1.2665
17/07/2014,1.2645
18/07/2014,1.2634
21/07/2014,1.2622
22/07/2014,1.2666
23/07/2014,1.2656
24/07/2014,1.2602
25/07/2014,1.2638
28/07/2014,1.2649
29/07/2014,1.2636
30/07/2014,1.2635
31/07/2014,1.2618
01/08/2014,1.2538
04/08/2014,1.2549
05/08/2014,1.2619
06/08/2014,1.2602
07/08/2014,1.2615
08/08/2014,1.2523
11/08/2014,1.2541
12/08/2014,1.2581
13/08/2014,1.2477
14/08/2014,1.2471
15/08/2014,1.2467
18/08/2014,1.2514
19/08/2014,1.2477
20/08/2014,1.2528
21/08/2014,1.2494
22/08/2014,1.2524
26/08/2014,1.2555
27/08/2014,1.2561
28/08/2014,1.2586
29/08/2014,1.2609
01/09/2014,1.2647
02/09/2014,1.258
03/09/2014,1.2523
04/09/2014,1.2646
05/09/2014,1.2595
08/09/2014,1.2481
09/09/2014,1.2472
10/09/2014,1.2502
11/09/2014,1.2544
12/09/2014,1.2544
15/09/2014,1.2547
16/09/2014,1.2531
17/09/2014,1.2596
18/09/2014,1.2684
19/09/2014,1.2703
22/09/2014,1.2734
23/09/2014,1.2718
24/09/2014,1.2773
25/09/2014,1.2807
26/09/2014,1.2795
29/09/2014,1.2804
30/09/2014,1.2833
01/10/2014,1.2866
02/10/2014,1.2738
03/10/2014,1.2758
06/10/2014,1.2735
07/10/2014,1.2736
08/10/2014,1.2671
09/10/2014,1.2714
10/10/2014,1.2696
13/10/2014,1.2662
14/10/2014,1.2568
15/10/2014,1.2495
16/10/2014,1.2534
17/10/2014,1.2608
20/10/2014,1.2621
21/10/2014,1.2673
22/10/2014,1.2673
23/10/2014,1.2676
24/10/2014,1.2695
27/10/2014,1.2692
28/10/2014,1.2674
29/10/2014,1.2655
30/10/2014,1.2696
31/10/2014,1.277
03/11/2014,1.2799
04/11/2014,1.2734
05/11/2014,1.2792
06/11/2014,1.2788
07/11/2014,1.2763
10/11/2014,1.2754
11/11/2014,1.2773
12/11/2014,1.2687
13/11/2014,1.2613
14/11/2014,1.2538
17/11/2014,1.2562
18/11/2014,1.2485
19/11/2014,1.2493
20/11/2014,1.2521
21/11/2014,1.2631
24/11/2014,1.2622
25/11/2014,1.2595
26/11/2014,1.2606
27/11/2014,1.2598
28/11/2014,1.2565
01/12/2014,1.2602
02/12/2014,1.2621
03/12/2014,1.2752
04/12/2014,1.2624
